ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa,best_time,fast_label
gmres,jacobi,1e-08,500,1,2,364,0.0163291660137474,4.789866385342687e-06,0.5602924774963794,,Erdos982,5822,5822,14750,1,True,364.0,14750,0.0004351586473369,2.5334936447956027,5.9478289579328525,0.0,61.0,1.0,0.0,0.0,0.1477155616626588,61.0,61.0,1.0,1.2015586633470765,1.043911118501566,0.0,7.810249675906654,1.2015586633470765,1.043911118501566,0.0,7.810249675906654,0.0,0.0,1.0,0.0,11.971012261494636,14.654946819997496,7.810249675906654,114.45879365131468,0.0045934999361634,0
bcgs,jacobi,1e-08,500,1,2,211,0.0090653329389169,4.802747757247697e-06,0.5697387769619907,,Erdos992,6100,6100,15030,1,True,211.0,15030,0.000403923676431,2.463934426229508,5.843941315076731,0.0,61.0,1.0,0.0,0.0,0.1649180327868852,61.0,61.0,1.0,1.173178284876651,1.0428744594261514,0.0,7.810249675906654,1.173178284876651,1.0428744594261514,0.0,7.810249675906654,0.0,0.0,1.0,0.0,14.827508728176245,15.130827777303049,7.810249675906654,118.17554274388053,0.0050540410447865,0
gmres,jacobi,1e-08,500,1,2,378,0.0175336670363321,4.952297386701681e-06,0.5697387769619887,,Erdos992,6100,6100,15030,1,True,378.0,15030,0.000403923676431,2.463934426229508,5.843941315076731,0.0,61.0,1.0,0.0,0.0,0.1649180327868852,61.0,61.0,1.0,1.173178284876651,1.0428744594261514,0.0,7.810249675906654,1.173178284876651,1.0428744594261514,0.0,7.810249675906654,0.0,0.0,1.0,0.0,14.827508728176245,15.130827777303049,7.810249675906654,118.17554274388053,0.0050540410447865,0
bcgs,ilu,1e-08,500,1,2,7,0.6534947080072016,7.697532997143887e-07,3.085797783569027e-09,,FEM_3D_thermal2,147900,147900,3489300,1,True,7.0,3489300,0.0001595151594945,23.592292089249497,4.480983191777015,12.0,27.0,0.0,0.0157364067706264,0.0282508300893757,0.0,1.0306920813434612,1.0306920813434617,1.0,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.351721776986738,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.3517217769867379,0.0002285450662249,0.2917726443179852,0.0,3.851864338990926e-17,0.5604202728043853,0.5790754127930483,1186.350584631104,686.9864545125306,0.0854557909769937,0
bcgs,jacobi,1e-08,500,1,2,24,0.0955547499470412,4.425435732110937e-06,6.468285266608286e-08,,FEM_3D_thermal2,147900,147900,3489300,1,True,24.0,3489300,0.0001595151594945,23.592292089249497,4.480983191777015,12.0,27.0,0.0,0.0157364067706264,0.0282508300893757,0.0,1.0306920813434612,1.0306920813434617,1.0,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.351721776986738,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.3517217769867379,0.0002285450662249,0.2917726443179852,0.0,3.851864338990926e-17,0.5604202728043853,0.5790754127930483,1186.350584631104,686.9864545125306,0.0854557909769937,0
cg,jacobi,1e-08,500,1,2,41,0.0854557909769937,4.275437656072939e-06,1.44052949649699e-08,,FEM_3D_thermal2,147900,147900,3489300,1,True,41.0,3489300,0.0001595151594945,23.592292089249497,4.480983191777015,12.0,27.0,0.0,0.0157364067706264,0.0282508300893757,0.0,1.0306920813434612,1.0306920813434617,1.0,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.351721776986738,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.3517217769867379,0.0002285450662249,0.2917726443179852,0.0,3.851864338990926e-17,0.5604202728043853,0.5790754127930483,1186.350584631104,686.9864545125306,0.0854557909769937,1
gmres,ilu,1e-08,500,1,2,11,0.6328573330538347,2.76378072913482e-06,9.231871833805689e-09,,FEM_3D_thermal2,147900,147900,3489300,1,True,11.0,3489300,0.0001595151594945,23.592292089249497,4.480983191777015,12.0,27.0,0.0,0.0157364067706264,0.0282508300893757,0.0,1.0306920813434612,1.0306920813434617,1.0,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.351721776986738,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.3517217769867379,0.0002285450662249,0.2917726443179852,0.0,3.851864338990926e-17,0.5604202728043853,0.5790754127930483,1186.350584631104,686.9864545125306,0.0854557909769937,0
gmres,jacobi,1e-08,500,1,2,40,0.1090005419682711,3.7592623595949433e-06,4.101615194825898e-08,,FEM_3D_thermal2,147900,147900,3489300,1,True,40.0,3489300,0.0001595151594945,23.592292089249497,4.480983191777015,12.0,27.0,0.0,0.0157364067706264,0.0282508300893757,0.0,1.0306920813434612,1.0306920813434617,1.0,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.351721776986738,0.0193235465823185,0.0358343034778956,0.0002964737250044,0.3517217769867379,0.0002285450662249,0.2917726443179852,0.0,3.851864338990926e-17,0.5604202728043853,0.5790754127930483,1186.350584631104,686.9864545125306,0.0854557909769937,0
bcgs,jacobi,1e-08,500,1,2,1,5.4458039812743664e-05,0.0,0.0,,G48,3000,3000,12000,1,True,1.0,12000,0.0013333333333333,4.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.87579262651651,3.940918080371711,1.0,3.940918080371711,3.7082936614751816e-05,0
cg,jacobi,1e-08,500,1,3,1,3.7082936614751816e-05,0.0,0.0,,G48,3000,3000,12000,1,True,1.0,12000,0.0013333333333333,4.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.87579262651651,3.940918080371711,1.0,3.940918080371711,3.7082936614751816e-05,1
