ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Binaryalphadigs_10NN,1404,1404,19392,0,False,,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.0,0.0,1.0,0.0,3.0310137439561196,3.0310137440481313,28.350195047977557,85.92983083686525
bcgs,jacobi,1e-08,500,0,-3,500,0.012956624967046,0.0068830621642867,0.0524167601386397,,Binaryalphadigs_10NN,1404,1404,19392,1,False,,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.0,0.0,1.0,0.0,3.0310137439561196,3.0310137440481313,28.350195047977557,85.92983083686525
cg,jacobi,1e-08,500,0,-10,5,0.0001088749850168,3.6646722565807233,0.3158406000772412,,Binaryalphadigs_10NN,1404,1404,19392,0,False,,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.0,0.0,1.0,0.0,3.0310137439561196,3.0310137440481313,28.350195047977557,85.92983083686525
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Binaryalphadigs_10NN,1404,1404,19392,0,False,,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.0,0.0,1.0,0.0,3.0310137439561196,3.0310137440481313,28.350195047977557,85.92983083686525
gmres,jacobi,1e-08,500,0,-3,500,0.0097923749126493,0.0119564689179236,0.0628694166048257,,Binaryalphadigs_10NN,1404,1404,19392,1,False,,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.0,0.0,1.0,0.0,3.0310137439561196,3.0310137440481313,28.350195047977557,85.92983083686525
bcgs,ilu,1e-08,500,1,2,7,0.0547241249587386,1.0142057177257754e-06,2.360144269227301e-08,,CAG_mat1916,1916,1916,195985,1,True,7.0,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935
bcgs,jacobi,1e-08,500,0,-3,500,0.1542155829956755,0.0019243863244539,0.101384105078664,,CAG_mat1916,1916,1916,195985,1,False,,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935
cg,jacobi,1e-08,500,0,-3,500,0.0775600830093026,21376.36626836822,43.24955248482887,,CAG_mat1916,1916,1916,195985,1,False,,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935
gmres,ilu,1e-08,500,1,2,11,0.0529603750910609,2.0504883300230017e-07,5.450605380487579e-09,,CAG_mat1916,1916,1916,195985,1,True,11.0,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935
gmres,jacobi,1e-08,500,0,-3,500,0.0835402079392224,0.0020726596273534,0.0729773085593057,,CAG_mat1916,1916,1916,195985,1,False,,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,CSphd,1882,1882,1740,0,False,,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0,0.5357157200960503,0.7984716776806321,0.0,6.708203932499369,0.8969528630287582,0.3464446771429266,0.0,1.7320508075688772,0.0,0.0,1.0,1.414213562373095,0.0,6.709896823855469,6.708203932499369,45.01135626045228
bcgs,jacobi,1e-08,500,0,-4,30,0.0004708339693024,46345846.606435336,4.7168549668241344e+17,,CSphd,1882,1882,1740,1,False,,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0,0.5357157200960503,0.7984716776806321,0.0,6.708203932499369,0.8969528630287582,0.3464446771429266,0.0,1.7320508075688772,0.0,0.0,1.0,1.414213562373095,0.0,6.709896823855469,6.708203932499369,45.01135626045228
cg,jacobi,1e-08,500,0,-4,6,7.037504110485315e-05,1467083.807837061,26350.421751234346,,CSphd,1882,1882,1740,1,False,,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0,0.5357157200960503,0.7984716776806321,0.0,6.708203932499369,0.8969528630287582,0.3464446771429266,0.0,1.7320508075688772,0.0,0.0,1.0,1.414213562373095,0.0,6.709896823855469,6.708203932499369,45.01135626045228
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,CSphd,1882,1882,1740,0,False,,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0,0.5357157200960503,0.7984716776806321,0.0,6.708203932499369,0.8969528630287582,0.3464446771429266,0.0,1.7320508075688772,0.0,0.0,1.0,1.414213562373095,0.0,6.709896823855469,6.708203932499369,45.01135626045228
gmres,jacobi,1e-08,500,0,-5,90,0.0014207500498741,88.99104874790348,1.0449450423041354e+16,,CSphd,1882,1882,1740,1,False,,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0,0.5357157200960503,0.7984716776806321,0.0,6.708203932499369,0.8969528630287582,0.3464446771429266,0.0,1.7320508075688772,0.0,0.0,1.0,1.414213562373095,0.0,6.709896823855469,6.708203932499369,45.01135626045228
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,California,9664,9664,16150,0,False,,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145,0.8304957879919966,0.9906701814323516,0.0,12.806248474865695,0.4773362020046294,1.201374551298408,0.0,14.106735979665885,0.0,0.0,1.0,1.3982740356016667,7.405124529032488,21.49098129194992,12.806248474865695,275.2188463934009
bcgs,jacobi,1e-08,500,0,-5,157,0.0172467499505728,1197.3081539863113,16.013644324381634,,California,9664,9664,16150,1,False,,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145,0.8304957879919966,0.9906701814323516,0.0,12.806248474865695,0.4773362020046294,1.201374551298408,0.0,14.106735979665885,0.0,0.0,1.0,1.3982740356016667,7.405124529032488,21.49098129194992,12.806248474865695,275.2188463934009
cg,jacobi,1e-08,500,0,-10,2,0.0002827499993145,419.4444745881385,1.89246640567649,,California,9664,9664,16150,0,False,,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145,0.8304957879919966,0.9906701814323516,0.0,12.806248474865695,0.4773362020046294,1.201374551298408,0.0,14.106735979665885,0.0,0.0,1.0,1.3982740356016667,7.405124529032488,21.49098129194992,12.806248474865695,275.2188463934009
