ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G26,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.017446499899961,0.0649972362314781,0.0224259077116428,,G26,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G27,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0257346249418333,0.2223983365517251,0.1033858096286992,,G27,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001028749393299,12585.64196126252,44.178675340445245,,G27,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G27,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0174585829954594,0.3175559588036635,0.1136337257992166,,G27,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G28,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0257369589526206,0.1592260358665387,0.0849544218373923,,G28,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001205829903483,8273.961849294003,28.13474635869342,,G28,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G28,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0175635420018807,0.2953752079390767,0.1135174185845025,,G28,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G29,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0256527080200612,0.1209436376032265,0.0734840846591755,,G29,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001187500311061,6830.944642891821,23.476828048994403,,G29,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G29,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0174823750276118,0.2132731332923756,0.0957803360240626,,G29,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G30,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0256780830677598,0.1040040434785495,0.0803790439252,,G30,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001103749964386,3985.0690201953007,14.04583112719934,,G30,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G30,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.017381333047524,0.2115393994919713,0.0997251362254167,,G30,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G31,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0255202909465879,0.1111150447105057,0.0821063429708859,,G31,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001027500256896,7376.247401420049,25.506776033731747,,G31,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G31,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0175471669062972,0.2539426996021969,0.1070246828363491,,G31,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G32,2000,2000,8000
bcgs,jacobi,1e-08,500,0,-3,500,0.0080479170428588,0.0572131273352908,0.0830082796755887,,G32,2000,2000,8000
cg,jacobi,1e-08,500,0,-10,2,3.6917044781148434e-05,83432.53926376687,698.9328608671937,,G32,2000,2000,8000
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G32,2000,2000,8000
gmres,jacobi,1e-08,500,0,-3,500,0.0080077920574694,0.1029495423853152,0.12033517584738,,G32,2000,2000,8000
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G33,2000,2000,8000
bcgs,jacobi,1e-08,500,0,-3,500,0.0079268750268965,0.0354804262136817,0.0685251815626304,,G33,2000,2000,8000
cg,jacobi,1e-08,500,0,-10,2,3.312493208795786e-05,6427.254312309576,54.50034964126751,,G33,2000,2000,8000
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G33,2000,2000,8000
gmres,jacobi,1e-08,500,0,-3,500,0.0080158750060945,0.0651309197648629,0.0789976363533957,,G33,2000,2000,8000
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G34,2000,2000,8000
bcgs,jacobi,1e-08,500,0,-3,500,0.0077093750005587,0.1586268121684009,0.1667410317491145,,G34,2000,2000,8000
cg,jacobi,1e-08,500,0,-10,2,3.570900298655033e-05,4040.252375536232,34.36988035164575,,G34,2000,2000,8000
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G34,2000,2000,8000
gmres,jacobi,1e-08,500,0,-3,500,0.0085281250067055,0.1022446093373726,0.0953679981356075,,G34,2000,2000,8000
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G35,2000,2000,23556
bcgs,jacobi,1e-08,500,0,-3,500,0.0170393750304356,0.0916244619832098,0.0464462882329582,,G35,2000,2000,23556
cg,jacobi,1e-08,500,0,-10,2,0.0001039589988067,235.65603398728112,0.7636034972373811,,G35,2000,2000,23556
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G35,2000,2000,23556
gmres,jacobi,1e-08,500,0,-3,500,0.0138070419197902,0.3257015694355613,0.0788616047749892,,G35,2000,2000,23556
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G36,2000,2000,23532
bcgs,jacobi,1e-08,500,0,-3,500,0.0183512090006843,0.1335308495211711,0.0704400726749646,,G36,2000,2000,23532
cg,jacobi,1e-08,500,0,-10,2,9.46249347180128e-05,260.81221498787346,0.760576380961517,,G36,2000,2000,23532
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G36,2000,2000,23532
gmres,jacobi,1e-08,500,0,-3,500,0.0130720830056816,0.3050922278735739,0.0864080668549426,,G36,2000,2000,23532
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G37,2000,2000,23570
bcgs,jacobi,1e-08,500,0,-3,500,0.0179829590488225,0.2008293549155807,0.0748377290782628,,G37,2000,2000,23570
cg,jacobi,1e-08,500,0,-10,2,7.983297109603882e-05,251.62917616784884,0.7697160173152104,,G37,2000,2000,23570
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G37,2000,2000,23570
gmres,jacobi,1e-08,500,0,-3,500,0.014130915980786,0.3385889260218908,0.0825391036964363,,G37,2000,2000,23570
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G38,2000,2000,23558
bcgs,jacobi,1e-08,500,0,-3,500,0.0177932499209418,0.0941305694533668,0.0494208208535747,,G38,2000,2000,23558
cg,jacobi,1e-08,500,0,-10,2,8.245906792581081e-05,236.4030396956246,0.7667347814822835,,G38,2000,2000,23558
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G38,2000,2000,23558
gmres,jacobi,1e-08,500,0,-3,500,0.0140866660512983,0.3394637354643131,0.0835460613891459,,G38,2000,2000,23558
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G39,2000,2000,23556
bcgs,jacobi,1e-08,500,0,-3,500,0.0181252909824252,0.1835607825389555,0.0899015125111251,,G39,2000,2000,23556
cg,jacobi,1e-08,500,0,-10,2,8.187501225620508e-05,1274.965624197377,3.6951235582592705,,G39,2000,2000,23556
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G39,2000,2000,23556
gmres,jacobi,1e-08,500,0,-3,500,0.0133467080304399,0.6616654457025373,0.1517160818440205,,G39,2000,2000,23556
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G40,2000,2000,23532
bcgs,jacobi,1e-08,500,0,-3,500,0.0177416659425944,1.5649076029884643,0.4737867917493478,,G40,2000,2000,23532
cg,jacobi,1e-08,500,0,-10,2,9.962508920580147e-05,4110.879769895447,12.729861277515726,,G40,2000,2000,23532
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G40,2000,2000,23532
gmres,jacobi,1e-08,500,0,-3,500,0.0134118749992921,0.6252066943269764,0.1659775778709239,,G40,2000,2000,23532
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G41,2000,2000,23570
bcgs,jacobi,1e-08,500,0,-3,500,0.0174573750700801,0.313721433795123,0.1469602942649685,,G41,2000,2000,23570
cg,jacobi,1e-08,500,0,-10,2,8.06670868769288e-05,7317.823247370891,22.158007226488365,,G41,2000,2000,23570
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G41,2000,2000,23570
gmres,jacobi,1e-08,500,0,-3,500,0.0133324159542098,0.5867994461516921,0.165788125686083,,G41,2000,2000,23570
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G42,2000,2000,23558
bcgs,jacobi,1e-08,500,0,-3,500,0.0174230419797822,0.7038777178969414,0.2265498165437707,,G42,2000,2000,23558
cg,jacobi,1e-08,500,0,-10,2,8.254102431237698e-05,40831.88686403992,109.78720589125884,,G42,2000,2000,23558
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G42,2000,2000,23558
gmres,jacobi,1e-08,500,0,-3,500,0.0137826669961214,0.5946903301147142,0.1590656730596706,,G42,2000,2000,23558
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G43,1000,1000,19980
bcgs,jacobi,1e-08,500,0,-3,500,0.0124173749936744,0.0167064402799846,0.0187362275169825,,G43,1000,1000,19980
cg,jacobi,1e-08,500,0,-10,3,0.0001013749279081,636.7651760690655,3.205647277864673,,G43,1000,1000,19980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G43,1000,1000,19980
gmres,jacobi,1e-08,500,0,-3,500,0.0087583750719204,0.0418235659337508,0.0225165911610089,,G43,1000,1000,19980
